k,selected_stations,covered_demand_points,total_demand_points,covered_weighted_demand,total_weighted_demand,coverage_pct
1,Raidurg,35,4849,35.0,5899.5,0.5932706161539113
2,Raidurg | Musheerabad,62,4849,68.25,5899.5,1.156877701500127
3,Raidurg | Musheerabad | Khairatabad,81,4849,91.0,5899.5,1.5425036020001694
4,Raidurg | Musheerabad | Khairatabad | Sultan Bazar,100,4849,114.75,5899.5,1.9450800915331807
5,Raidurg | Musheerabad | Khairatabad | Sultan Bazar | Ameerpet,115,4849,130.75,5899.5,2.2162895160606833
6,Raidurg | Musheerabad | Khairatabad | Sultan Bazar | Ameerpet | S. R. Nagar,127,4849,144.75,5899.5,2.453597762522248
7,Raidurg | Musheerabad | Khairatabad | Sultan Bazar | Ameerpet | S. R. Nagar | JBS Parade Ground,137,4849,157.0,5899.5,2.6612424781761166
8,Raidurg | Musheerabad | Khairatabad | Sultan Bazar | Ameerpet | S. R. Nagar | JBS Parade Ground | Secunderabad West,151,4849,174.5,5899.5,2.9578777862530723
9,Raidurg | Musheerabad | Khairatabad | Sultan Bazar | Ameerpet | S. R. Nagar | JBS Parade Ground | Secunderabad West | RTC Cross Roads,162,4849,186.75,5899.5,3.165522501906941
10,Raidurg | Musheerabad | Khairatabad | Sultan Bazar | Ameerpet | S. R. Nagar | JBS Parade Ground | Secunderabad West | RTC Cross Roads | Assembly,172,4849,198.0,5899.5,3.356216628527841
