demand_id,lat,lon,type,demand_weight,assigned_station_id,assigned_station_name,distance_to_station_m
2,17.446887885543063,78.37597964015765,business,1.0,RDG,Raidurg,751.5256531287519
3,17.443601185916467,78.37805439669586,business,1.0,RDG,Raidurg,268.68982549538106
9,17.444476962897316,78.37987458279524,business,1.0,RDG,Raidurg,532.9054227054467
54,17.421046802756177,78.4964226481233,business,1.0,MSH,Musheerabad,648.4868564027474
55,17.41876661137677,78.49414832090444,business,1.0,MSH,Musheerabad,780.1878948115734
70,17.44025592177402,78.38184293155189,business,1.0,RDG,Raidurg,714.9318337760013
77,17.40776719166525,78.46244941678499,business,1.0,KHA,Khairatabad,620.7584077935568
78,17.407404054217373,78.46287398509664,business,1.0,KHA,Khairatabad,694.5408410432564
79,17.4070645107561,78.46365494488096,business,1.0,KHA,Khairatabad,791.3420606358328
95,17.43835223116863,78.3801019028705,business,1.0,RDG,Raidurg,685.7963122058601
287,17.437257391910794,78.44414185105369,business,1.0,AME,Ameerpet,247.9088169866993
291,17.4365259,78.44642325,business,1.0,AME,Ameerpet,262.9929504699052
292,17.44154567750087,78.37791205447212,business,1.0,RDG,Raidurg,122.23650549209783
293,17.43800457964725,78.44409090300023,business,1.0,AME,Ameerpet,355.8747541517568
299,17.43957354274282,78.37810933373217,business,1.0,RDG,Raidurg,385.31117309108464
300,17.439516786348193,78.3786902887784,business,1.0,RDG,Raidurg,428.1432339677524
301,17.440083707126142,78.37842923874884,business,1.0,RDG,Raidurg,336.13773077160516
303,17.43787315080715,78.38041489777271,business,1.0,RDG,Raidurg,770.0197005674459
305,17.44114481109362,78.38089132747929,business,1.0,RDG,Raidurg,544.3671889532991
309,17.44158865376769,78.37963163227805,business,1.0,RDG,Raidurg,353.76724662838166
310,17.441929991203835,78.37890417903,business,1.0,RDG,Raidurg,244.22001006206668
311,17.440018098726306,78.38031834058116,business,1.0,RDG,Raidurg,536.2112614933318
312,17.44061975,78.3804706,business,1.0,RDG,Raidurg,512.1730594576995
313,17.445684974627568,78.37538325772566,business,1.0,RDG,Raidurg,609.6835764402861
314,17.44512117453205,78.37665375315771,business,1.0,RDG,Raidurg,473.2246120482822
315,17.4453953,78.37613605000001,business,1.0,RDG,Raidurg,530.1966793993555
316,17.444564972729324,78.37415863851913,business,1.0,RDG,Raidurg,581.3505672868215
318,17.439066264710643,78.38128959541574,business,1.0,RDG,Raidurg,732.1808596202452
319,17.444560933802723,78.38025255106871,business,1.0,RDG,Raidurg,581.33871938999
320,17.44458854757762,78.37933972474163,business,1.0,RDG,Raidurg,493.64366503101724
321,17.431307032936076,78.44771709775164,business,1.0,AME,Ameerpet,781.9663349976223
322,17.443677707877452,78.37974210330164,business,1.0,RDG,Raidurg,442.23137571640683
323,17.44461261482297,78.38169763230263,business,1.0,RDG,Raidurg,753.8952603102374
324,17.444599560573177,78.38113277963242,business,1.0,RDG,Raidurg,684.7449574826151
325,17.442624082296035,78.37918283915947,business,1.0,RDG,Raidurg,298.914076036026
326,17.441080880652816,78.3790113862997,business,1.0,RDG,Raidurg,293.5257778937601
329,17.43663995,78.44504265000002,business,1.0,AME,Ameerpet,141.89576139047549
330,17.43798585,78.4485184,business,1.0,AME,Ameerpet,632.6908378544647
331,17.43764515,78.44860235,business,1.0,AME,Ameerpet,617.6043007495805
333,17.43730111473479,78.44602426976392,business,1.0,AME,Ameerpet,294.89744152894156
373,17.441053054655974,78.3825530957345,business,1.0,RDG,Raidurg,780.5417213598326
374,17.44369552299123,78.37915988051692,business,1.0,RDG,Raidurg,378.19525003077706
376,17.44348435,78.38153954999999,business,1.0,RDG,Raidurg,660.5423796039637
379,17.444825181173336,78.37527509616152,business,1.0,RDG,Raidurg,504.94717763217784
475,17.443956263159894,78.37289447701426,business,1.0,RDG,Raidurg,684.0323757740503
476,17.4432659631599,78.37283937701424,business,1.0,RDG,Raidurg,654.2421903034449
529,17.4385057,78.3793696,business,1.0,RDG,Raidurg,607.8343891004279
530,17.43842255,78.38022675,business,1.0,RDG,Raidurg,688.6098440778472
553,17.43969740839215,78.44846707909034,business,1.0,AME,Ameerpet,794.4516896601796
566,17.406731847511924,78.4630631204061,business,1.0,KHA,Khairatabad,797.417018200938
567,17.434749835361707,78.4480985297029,business,1.0,AME,Ameerpet,496.01658438720426
574,17.43725982435691,78.4479892509707,business,1.0,AME,Ameerpet,513.0260584641757
649,17.4327345,78.4425108,school,1.25,AME,Ameerpet,553.7471616035991
2039,17.4374614,78.4482878,school,1.25,AME,Ameerpet,564.8803507391883
3620,17.4374614,78.4482878,school,1.25,AME,Ameerpet,564.8803507391883
3899,17.4193877,78.5002975,school,1.25,MSH,Musheerabad,253.18019956641135
3925,17.4112678,78.4555011,school,1.25,KHA,Khairatabad,772.1025742355811
3927,17.413513,78.4624064,school,1.25,KHA,Khairatabad,357.47859717869744
3965,17.4145283,78.4991492,school,1.25,MSH,Musheerabad,502.77669994476736
3966,17.4145283,78.4991492,school,1.25,MSH,Musheerabad,502.77669994476736
3968,17.4147037,78.4991832,school,1.25,MSH,Musheerabad,476.2028928476233
4000,17.3828604,78.4808589,school,1.25,SUB,Sultan Bazar,512.502157519298
4002,17.3893169,78.4844292,school,1.25,SUB,Sultan Bazar,730.233358584113
4003,17.3856713,78.4802399,school,1.25,SUB,Sultan Bazar,573.1306219965218
4006,17.385044,78.486671,school,1.25,SUB,Sultan Bazar,390.2361534503523
4012,17.384642,78.4794299,school,1.25,SUB,Sultan Bazar,660.0433785478544
4028,17.4150151,78.5017743,school,1.25,MSH,Musheerabad,537.3234422826323
4085,17.385044,78.486671,school,1.25,SUB,Sultan Bazar,390.2361534503523
4093,17.4193877,78.5002975,school,1.25,MSH,Musheerabad,253.18019956641135
4097,17.4196548,78.4990004,school,1.25,MSH,Musheerabad,275.8134512474833
4098,17.4146645,78.4992791,school,1.25,MSH,Musheerabad,480.9115398321725
4148,17.4193877,78.5002975,school,1.25,MSH,Musheerabad,253.18019956641135
4191,17.4150606,78.4648288,school,1.25,KHA,Khairatabad,765.3448632164277
4194,17.3829095,78.4806147,school,1.25,SUB,Sultan Bazar,540.6525383153996
4197,17.3887034,78.4823582,school,1.25,SUB,Sultan Bazar,679.6551755087708
4200,17.3843312,78.4886119,school,1.25,SUB,Sultan Bazar,658.7099113196342
4208,17.4094179,78.4604059,school,1.25,KHA,Khairatabad,337.58992899018614
4216,17.4137305,78.4586197,school,1.25,KHA,Khairatabad,449.956660609369
4226,17.4137305,78.4586197,school,1.25,KHA,Khairatabad,449.956660609369
4250,17.4150606,78.4648288,school,1.25,KHA,Khairatabad,765.3448632164277
4276,17.4150606,78.4648288,school,1.25,KHA,Khairatabad,765.3448632164277
4299,17.4150151,78.5017743,school,1.25,MSH,Musheerabad,537.3234422826323
4300,17.4150151,78.5017743,school,1.25,MSH,Musheerabad,537.3234422826323
4301,17.417843,78.494816,school,1.25,MSH,Musheerabad,672.9093076921394
4305,17.4173265,78.494712,school,1.25,MSH,Musheerabad,692.6769777332455
4306,17.4150151,78.5017743,school,1.25,MSH,Musheerabad,537.3234422826323
4312,17.388506,78.4870349,school,1.25,SUB,Sultan Bazar,744.8641067103404
4317,17.385044,78.486671,school,1.25,SUB,Sultan Bazar,390.2361534503523
4321,17.388506,78.4870349,school,1.25,SUB,Sultan Bazar,744.8641067103404
4324,17.4150151,78.5017743,school,1.25,MSH,Musheerabad,537.3234422826323
4325,17.4196548,78.4990004,school,1.25,MSH,Musheerabad,275.8134512474833
4326,17.4196548,78.4990004,school,1.25,MSH,Musheerabad,275.8134512474833
4412,17.417843,78.494816,school,1.25,MSH,Musheerabad,672.9093076921394
4413,17.4193877,78.5002975,school,1.25,MSH,Musheerabad,253.18019956641135
4453,17.4094179,78.460406,school,1.25,KHA,Khairatabad,337.5871113518651
4462,17.4145283,78.4991492,school,1.25,MSH,Musheerabad,502.77669994476736
4474,17.3873002,78.4866863,school,1.25,SUB,Sultan Bazar,572.5941883673199
4475,17.3873002,78.4866863,school,1.25,SUB,Sultan Bazar,572.5941883673199
4479,17.380081,78.4826457,school,1.25,SUB,Sultan Bazar,682.0075685112206
4492,17.4137305,78.4586197,school,1.25,KHA,Khairatabad,449.956660609369
4551,17.4137305,78.4586197,school,1.25,KHA,Khairatabad,449.956660609369
4554,17.4150606,78.4648288,school,1.25,KHA,Khairatabad,765.3448632164277
4570,17.3873002,78.4866863,school,1.25,SUB,Sultan Bazar,572.5941883673199
4583,17.385044,78.486671,school,1.25,SUB,Sultan Bazar,390.2361534503523
4599,17.411729,78.457998,school,1.25,KHA,Khairatabad,412.0990431711592
4603,17.4094179,78.4604059,school,1.25,KHA,Khairatabad,337.58992899018614
4604,17.4150606,78.4648288,school,1.25,KHA,Khairatabad,765.3448632164277
4606,17.4217636,78.4965789,school,1.25,MSH,Musheerabad,717.1489839116638
4615,17.4176727,78.4948714,school,1.25,MSH,Musheerabad,665.6264428095319
4616,17.419312,78.50425,school,1.25,MSH,Musheerabad,714.0008940076325
4624,17.4201266,78.4947286,school,1.25,MSH,Musheerabad,763.6460551423096
4631,17.385044,78.486671,school,1.25,SUB,Sultan Bazar,390.2361534503523
4668,17.4374614,78.4482878,school,1.25,AME,Ameerpet,564.8803507391883
4673,17.3859062,78.4798716,school,1.25,SUB,Sultan Bazar,634.6473865471081
4687,17.4196548,78.4990004,school,1.25,MSH,Musheerabad,275.8134512474833
